Taxa	Time	Group
G502-L-SLE_2009	2009	Human
G1180-L-SLE_2010	2010	Human
G503-L-SLE_2009	2009	Human
G610-L-SLE_2009	2009	Human
G693-L-SLE_2009	2009	Human
G771-L-SLE_2010	2010	Human
G1792-L-SLE_2011	2011	Human
G2565-L-SLE_2012	2012	Human
G1960-L-SLE_2011	2011	Human
G2197-L-SLE_2011	2011	Human
LM032-L-SLE_2010	2010	Mastomys
G1959-L-SLE_2011	2011	Human
G3010-L-SLE_2012	2012	Human
G636-L-SLE_2009	2009	Human
G2315-L-SLE_2012	2012	Human
G2903-L-SLE_2012	2012	Human
G3206-L-SLE_2012	2012	Human
G676-L-SLE_2009	2009	Human
G2405-L-SLE_2012	2012	Human
G1647-L-SLE_2011	2011	Human
G2295-L-SLE_2012	2012	Human
G2587-L-SLE_2012	2012	Human
G1190-L-SLE_2010	2010	Human
G2944-L-SLE_2012	2012	Human
LM765-L-SLE_2012	2012	Mastomys
G1727-L-SLE_2011	2011	Human
G3148-L-SLE_2012	2012	Human
Z0947-L-SLE_2011	2011	Human
Z0948-L-SLE_2011	2011	Human
G2280-L-SLE_2012	2012	Human
G2612-L-SLE_2012	2012	Human
G3016-L-SLE_2012	2012	Human
G3106-L-SLE_2012	2012	Human
G692-L-SLE_2009	2009	Human
G1774-L-SLE_2011	2011	Human
G2222-L-SLE_2011	2011	Human
LM395-L-SLE_2009	2009	Mastomys
Josiah-L-SLE_1976	1976	Lab
G2868-L-SLE_2012	2012	Human
G808-L-SLE_2010	2010	Human
G733-L-SLE_2010	2010	Human
G2554-L-SLE_2012	2012	Human
G1618-L-SLE_2011	2011	Human
G1646-L-SLE_2011	2011	Human
G2392-L-SLE_2012	2012	Human
G3229-L-SLE_2012	2012	Human
G3151-L-SLE_2012	2012	Human
G3248-L-SLE_2012	2012	Human
G3170-L-SLE_2012	2012	Human
G2427-L-SLE_2012	2012	Human
NL-L-SLE_2000	2000	Human
G2263-L-SLE_2012	2012	Human
G1529-L-SLE_2011	2011	Human
G3234-L-SLE_2012	2012	Human
G2259-L-SLE_2012	2012	Human
G2723-L-SLE_2012	2012	Human
G3278-L-SLE_2012	2012	Human
G2557-L-SLE_2012	2012	Human
G2615-L-SLE_2012	2012	Human
G2363-L-SLE_2012	2012	Human
G2431-L-SLE_2012	2012	Human
G2141-L-SLE_2011	2011	Human
G1442-L-SLE_2011	2011	Human
G2165-L-SLE_2011	2011	Human
G2184-L-SLE_2011	2011	Human
LM776-L-SLE_2012	2012	Mastomys
LM774-L-SLE_2012	2012	Mastomys
LM222-L-SLE_2010	2010	Mastomys
LM778-L-SLE_2012	2012	Mastomys
G2318-L-SLE_2012	2012	Human
LM779-L-SLE_2012	2012	Mastomys
G2147-L-SLE_2011	2011	Human
