Taxa	Time	Country
EBOV_AF272001_Mayinga_Yambuku_DRC_1976	1976	DRC
EBOV_KC242801_deRoover_DRC_1976	1976	DRC
EBOV_KC242800_Ilembe_Gabon_2002	2002	Gabon
EBOV_KC242790_Luebo5_Luebo_DRC_2007	2007	DRC
EBOV_HQ613403_MM_DRC_2007	2007	DRC
EBOV_HQ613402_034KS_DRC_2008	2008	DRC
EBOV_KC242785_Luebo0_Luebo_DRC_2007	2007	DRC
EBOV_KC242789_Luebo4_Luebo_DRC_2007	2007	DRC
EBOV_KC242786_Luebo1_Luebo_DRC_2007	2007	DRC
EBOV_KC242788_Luebo43_Luebo_DRC_2007	2007	DRC
EBOV_KC242787_Luebo23_Luebo_DRC_2007	2007	DRC
EBOV_KC242784_Luebo9_Luebo_DRC_2007	2007	DRC
EBOV_KM233065_G3769_SierraLeone_G_Kailahun_Jawie_2014	2014	SierraLeone
EBOV_KM233109_G3846_SierraLeone_G_Kailahun_Jawie_2014	2014	SierraLeone
EBOV_KM233116_NM042_SierraLeone_NM_Kambia_Mambolo_2014	2014	SierraLeone
EBOV_KM233090_G3816_SierraLeone_G_Kailahun_Jawie_2014	2014	SierraLeone
EBOV_KM233113_G3856_SierraLeone_G_Kenema_Nongowa_2014	2014	SierraLeone
EBOV_KM034551_EM096_SierraLeone_EM_Kailahun_KissiTeng_2014	2014	SierraLeone
EBOV_KM034559_G3680_SierraLeone_G_Kailahun_KissiTeng_2014	2014	SierraLeone
EBOV_KJ660346_KissidougouC15_Kissidougou_Guinea_2014	2014	Guinea
EBOV_KJ660348_GueckedouC05_Gueckedou_Guinea_2014	2014	Guinea
EBOV_KJ660347_GueckedouC07_Gueckedou_Guinea_2014	2014	Guinea
EBOV_KC242799_13709_Kikwit_DRC_1995	1995	DRC
EBOV_JQ352763_Kikwit_Kikwit_DRC_1995	1995	DRC
EBOV_AY354458_Zaire_Kikwit_DRC_1995	1995	DRC
EBOV_KC242798_1Ikot_Gabon_1996	1996	Gabon
EBOV_KC242797_1Oba_Gabon_1996	1996	Gabon
EBOV_KC242792_Gabon_Mekouka_Gabon_1994	1994	Gabon
EBOV_KC242791_Bonduni_Tandala_DRC_1977	1977	DRC
